year,first_name,country,sex,count
2017,Name94,South Korea,Female,4727
2021,Name489,India,Male,4473
2016,Name409,United States,Male,5155
2015,Name765,Argentina,Male,904
2017,Name846,South Korea,Female,1711
2010,Name161,United States,Male,1938
2011,Name843,Mexico,Male,4503
2015,Name741,Australia,Male,2027
2012,Name980,Argentina,Female,103
2017,Name270,Mexico,Male,1345
2023,Name384,Mexico,Male,7789
2014,Name92,United Kingdom,Male,1709
2017,Name378,Japan,Male,8206
2013,Name355,Mexico,Male,2675
2012,Name892,United States,Male,8122
2013,Name563,Mexico,Female,9266
2016,Name358,Mexico,Female,7146
2014,Name885,Brazil,Male,3366
2015,Name432,South Korea,Male,3421
2016,Name550,Brazil,Female,6429
2019,Name671,South Korea,Male,7615
2023,Name560,India,Male,2944
2017,Name308,Australia,Female,9038
2019,Name256,United States,Female,7600
2022,Name24,Mexico,Female,2995
2020,Name351,Brazil,Male,1047
2022,Name863,Australia,Male,440
2018,Name290,Australia,Female,826
2014,Name381,United Kingdom,Male,7737
2016,Name375,Argentina,Female,3023
2011,Name202,Mexico,Male,1601
2022,Name805,India,Male,3988
2020,Name371,Australia,Female,8041
2012,Name127,Argentina,Male,7784
2014,Name119,United States,Female,397
2017,Name661,India,Male,6170
2015,Name519,Australia,Male,3203
2010,Name231,India,Female,700
2014,Name775,United States,Male,4517
2011,Name66,Mexico,Male,2005
2013,Name565,Mexico,Male,2499
2017,Name852,United Kingdom,Female,8063
2022,Name246,Argentina,Female,1451
2021,Name539,Mexico,Male,435
2012,Name221,India,Female,6073
2016,Name403,Mexico,Male,9822
2014,Name20,United States,Male,6976
2023,Name232,Australia,Male,5868
2012,Name621,Brazil,Male,8490
2018,Name621,Brazil,Female,7244
2014,Name220,Brazil,Female,1196
2010,Name285,Argentina,Female,6601
2013,Name691,Australia,Male,7746
2018,Name290,South Korea,Female,6701
2020,Name662,Australia,Male,2926
2010,Name467,Argentina,Female,1661
2022,Name135,Argentina,Male,3818
2014,Name634,Argentina,Male,9948
2016,Name907,Japan,Male,3662
2010,Name732,Mexico,Female,6674
2023,Name865,Argentina,Male,4961
2021,Name289,South Korea,Male,5077
2015,Name457,Brazil,Female,465
2022,Name965,Japan,Female,2980
2017,Name500,Argentina,Female,4963
2011,Name650,Mexico,Female,9322
2021,Name263,United States,Female,8122
2013,Name327,Brazil,Male,2753
2019,Name871,South Korea,Female,6858
2016,Name567,India,Male,788
2014,Name542,Australia,Female,6202
2021,Name992,Japan,Male,9702
2022,Name269,United States,Male,9141
2020,Name98,Argentina,Male,3691
2019,Name1,Mexico,Male,3864
2010,Name993,Japan,Male,8194
2016,Name395,Japan,Female,9186
2011,Name50,United States,Female,9752
2010,Name422,Mexico,Male,9218
2018,Name523,Argentina,Female,8711
2013,Name688,United States,Female,3272
2012,Name706,South Korea,Male,7810
2019,Name891,Australia,Female,4754
